Model,Label,Threshold,Bal.Acc,MCC,F1,ROC_AUC,PR_AUC,Sensitivity,Specificity,morgan_radius
LR,floral,0.6,0.772,0.461,0.541,0.864,0.543,0.683,0.861,3
LR,fruity,0.55,0.716,0.404,0.58,0.797,0.566,0.661,0.771,3
LR,sweet,0.6,0.736,0.4,0.518,0.825,0.543,0.672,0.799,3
LR,woody,0.65,0.689,0.338,0.43,0.812,0.416,0.496,0.881,3
LR,green,0.5,0.687,0.344,0.571,0.747,0.528,0.713,0.66,3
LR,spicy,0.6,0.751,0.408,0.506,0.829,0.442,0.7,0.802,3
LR,animal_musk,0.6,0.697,0.355,0.461,0.773,0.459,0.532,0.862,3
LR,earthy,0.6,0.757,0.473,0.562,0.836,0.587,0.63,0.885,3
LR,citrus,0.75,0.632,0.244,0.28,0.875,0.216,0.304,0.959,3
LR,chemical,0.45,0.721,0.441,0.701,0.797,0.716,0.834,0.607,3
LR,gourmand,0.55,0.741,0.43,0.579,0.821,0.613,0.71,0.772,3
LR,powdery_amber,0.6,0.741,0.437,0.56,0.818,0.51,0.649,0.833,3
RF,floral,0.35,0.716,0.446,0.521,0.875,0.56,0.503,0.93,3
RF,fruity,0.4,0.728,0.477,0.608,0.831,0.694,0.57,0.886,3
RF,sweet,0.35,0.742,0.475,0.571,0.832,0.599,0.585,0.899,3
RF,woody,0.35,0.659,0.339,0.416,0.831,0.445,0.389,0.93,3
RF,green,0.4,0.654,0.314,0.515,0.746,0.55,0.5,0.808,3
RF,spicy,0.3,0.731,0.42,0.518,0.84,0.53,0.588,0.874,3
RF,animal_musk,0.35,0.683,0.397,0.477,0.788,0.485,0.435,0.931,3
RF,earthy,0.35,0.737,0.502,0.574,0.867,0.635,0.537,0.937,3
RF,citrus,0.3,0.549,0.163,0.161,0.833,0.304,0.109,0.989,3
RF,chemical,0.45,0.736,0.467,0.706,0.821,0.748,0.772,0.701,3
RF,gourmand,0.4,0.759,0.525,0.634,0.846,0.7,0.622,0.895,3
RF,powdery_amber,0.4,0.679,0.408,0.5,0.827,0.589,0.429,0.928,3
XGB,floral,0.3,0.744,0.481,0.556,0.876,0.572,0.566,0.923,3
XGB,fruity,0.45,0.717,0.463,0.592,0.832,0.674,0.542,0.893,3
XGB,sweet,0.4,0.733,0.484,0.571,0.843,0.637,0.546,0.92,3
XGB,woody,0.35,0.646,0.333,0.402,0.806,0.418,0.351,0.942,3
XGB,green,0.45,0.632,0.279,0.474,0.719,0.491,0.432,0.831,3
XGB,spicy,0.45,0.662,0.353,0.441,0.815,0.499,0.4,0.924,3
XGB,animal_musk,0.4,0.643,0.349,0.414,0.76,0.471,0.338,0.948,3
XGB,earthy,0.3,0.715,0.43,0.52,0.853,0.613,0.519,0.911,3
XGB,citrus,0.1,0.667,0.319,0.351,0.815,0.325,0.37,0.965,3
XGB,chemical,0.5,0.72,0.436,0.684,0.793,0.731,0.723,0.718,3
XGB,gourmand,0.45,0.721,0.471,0.582,0.832,0.661,0.535,0.907,3
XGB,powdery_amber,0.55,0.659,0.375,0.465,0.815,0.558,0.385,0.932,3
SVM,floral,0.5,0.673,0.458,0.486,0.884,0.573,0.372,0.974,3
SVM,fruity,0.4,0.727,0.449,0.601,0.815,0.62,0.614,0.841,3
SVM,sweet,0.4,0.746,0.477,0.574,0.842,0.583,0.596,0.895,3
SVM,woody,0.45,0.604,0.269,0.324,0.815,0.402,0.252,0.955,3
SVM,green,0.4,0.671,0.35,0.538,0.755,0.557,0.516,0.825,3
SVM,spicy,0.35,0.716,0.413,0.509,0.833,0.488,0.537,0.894,3
SVM,animal_musk,0.45,0.657,0.39,0.445,0.784,0.505,0.357,0.956,3
SVM,earthy,0.5,0.667,0.442,0.478,0.856,0.588,0.364,0.97,3
SVM,citrus,0.25,0.595,0.34,0.3,0.846,0.33,0.196,0.995,3
SVM,chemical,0.3,0.727,0.465,0.714,0.815,0.747,0.897,0.557,3
SVM,gourmand,0.45,0.729,0.459,0.586,0.829,0.638,0.585,0.874,3
SVM,powdery_amber,0.45,0.663,0.358,0.469,0.817,0.508,0.42,0.907,3
KNN,floral,0.2,0.77,0.461,0.541,0.836,0.466,0.676,0.865,3
KNN,fruity,0.4,0.696,0.413,0.558,0.792,0.585,0.52,0.873,3
KNN,sweet,0.2,0.752,0.421,0.533,0.804,0.448,0.716,0.789,3
KNN,woody,0.2,0.686,0.329,0.423,0.741,0.372,0.496,0.876,3
KNN,green,0.2,0.664,0.302,0.546,0.708,0.487,0.684,0.643,3
KNN,spicy,0.2,0.698,0.342,0.457,0.747,0.371,0.562,0.834,3
KNN,animal_musk,0.2,0.689,0.328,0.44,0.724,0.358,0.539,0.839,3
KNN,earthy,0.2,0.748,0.454,0.546,0.825,0.525,0.617,0.879,3
KNN,citrus,0.2,0.604,0.217,0.25,0.74,0.167,0.239,0.968,3
KNN,chemical,0.2,0.695,0.401,0.686,0.772,0.653,0.869,0.52,3
KNN,gourmand,0.2,0.716,0.379,0.544,0.789,0.541,0.701,0.731,3
KNN,powdery_amber,0.2,0.689,0.328,0.481,0.762,0.432,0.61,0.768,3
