Model,Bal.Acc,F1,ROC_AUC,PR_AUC,Sensitivity,Specificity,morgan_radius
KNN,0.697,0.491,0.771,0.452,0.591,0.803,1
LR,0.721,0.525,0.812,0.496,0.637,0.804,1
RF,0.693,0.516,0.827,0.56,0.5,0.887,1
SVM,0.687,0.505,0.822,0.53,0.493,0.881,1
XGB,0.712,0.527,0.807,0.539,0.603,0.822,1
