Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 90,Xp-7dv,9.531929776533387e-26,8.682738835480864e-27
Feature 91,JGI7,1.8715971220798879e-25,1.7235929452587555e-26
Feature 92,nFRing,5.069684747214244e-25,4.7195263412504967e-26
Feature 93,MACCS_105,8.2531561921710715e-25,7.765732553194002e-26
Feature 94,SlogP_VSA11,8.430016622909058e-25,8.016532324087692e-26
Feature 95,n5Ring,1.0686710656533278e-24,1.026951174201396e-25
Feature 96,FCSP3,1.1198543966399006e-24,1.087346110851555e-25
Feature 97,ATSC1i,1.788877370562328e-24,1.7548546778289107e-25
Feature 98,ATSC3d,2.278651073607138e-24,2.258122685556623e-25
Feature 99,n5HRing,5.008751389170296e-24,5.013765154324621e-25
