Label,Model,Config,PR_AUC_mean,PR_AUC_std,F1_mean,F1_std,Bal.Acc_mean,Bal.Acc_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Sensitivity_mean,Specificity_mean
fine_sour,RF,RF_n_estimators=300_max_features=log2,0.3478,0.0821017661198588,0.4242,0.0673698745731354,0.678,0.0281336097932703,0.8218,0.0758795097506566,0.5242,0.361,0.995
fine_spicy,RF,RF_n_estimators=300_max_features=sqrt,0.4058,0.0335589034385809,0.3892,0.0262526189169766,0.67,0.0351069793630839,0.8148,0.0050199601592043,0.4078,0.4155999999999999,0.9242
fine_strawberry,LR,LR_C=0.1,0.1197999999999999,0.0832538287407852,0.0812,0.0539925920844702,0.5838,0.0724375593183536,0.8236000000000001,0.1141722383068668,0.0568,0.2005999999999999,0.9668
fine_sulfurous,XGB,XGB_n_estimators=100_max_depth=6,0.7786000000000001,0.0062689712074629,0.7548,0.0193442497916047,0.929,0.0186413518823072,0.9796,0.0040987803063838,0.651,0.9008,0.9572
fine_sweaty,SVM,SVM_C=0.1,0.2326,0.161229029644168,0.1858,0.2119179086344521,0.5778000000000001,0.0828685706405028,0.8518000000000001,0.1043992337136628,0.2834,0.1582,0.9972
fine_sweet,RF,RF_n_estimators=300_max_features=sqrt,0.5554,0.0194242116957162,0.5532,0.0245091819528926,0.6812,0.0241288209409411,0.754,0.0186010752377383,0.4524,0.7234,0.6392
fine_tea,SVM,SVM_C=0.1,0.0728,0.0289084762656214,0.0276,0.0617154761789942,0.5152,0.0339882332579967,0.6782,0.0848127348928214,0.0236,0.0334,0.997
fine_terpenic,RF,RF_n_estimators=300_max_features=sqrt,0.3896,0.1500143326485839,0.268,0.15192925985471,0.632,0.0964935230987033,0.94,0.0566436227654976,0.4631999999999999,0.2694,0.9944
fine_tobacco,RF,RF_n_estimators=300_max_features=log2,0.2704,0.1127687900085834,0.2865999999999999,0.1182805985781269,0.6746000000000001,0.0887006200654764,0.8612,0.0523898845198192,0.2824,0.3767999999999999,0.9726
fine_tomato,SVM,SVM_C=1,0.2082,0.1128015957333937,0.1328,0.1227912863357982,0.6014,0.0763269284066901,0.89,0.0559776741210279,0.1042,0.2166,0.9864
