,,,,val_loss,val_loss,val_auroc,val_auroc,val_aucpr,val_aucpr,val_precision,val_precision,val_recall,val_recall,val_f1_micro,val_f1_micro,val_f1_macro,val_f1_macro,test_auroc_138,test_auroc_138,test_aucpr_138,test_aucpr_138,test_f1_macro_138,test_f1_macro_138,test_f1_micro_138,test_f1_micro_138,test_hier_violation_rate_138,test_hier_violation_rate_138,test_precision_micro_138,test_precision_micro_138,test_recall_micro_138,test_recall_micro_138,test_precision_macro_138,test_precision_macro_138,test_recall_macro_138,test_recall_macro_138,test_accuracy_138,test_accuracy_138,test_jaccard_macro_138,test_jaccard_macro_138,test_jaccard_micro_138,test_jaccard_micro_138,test_hamming_loss_138,test_hamming_loss_138,test_auroc_12,test_auroc_12,test_aucpr_12,test_aucpr_12,test_f1_macro_12,test_f1_macro_12,test_f1_micro_12,test_f1_micro_12,test_f1_instance_12,test_f1_instance_12,test_balanced_accuracy_12,test_balanced_accuracy_12,test_accuracy_12,test_accuracy_12,test_sensitivity_macro_12,test_sensitivity_macro_12,test_specificity_macro_12,test_specificity_macro_12,test_hier_violation_rate_12,test_hier_violation_rate_12,test_label_cooc_consistency_12,test_label_cooc_consistency_12,test_jaccard_macro_12,test_jaccard_macro_12,test_jaccard_micro_12,test_jaccard_micro_12,test_hamming_loss_12,test_hamming_loss_12,test_loss,test_loss
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
lambda_hier,num_heads,T_0,epochs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,1,50,1000,3.2111096715927125,0.16320295731184392,0.8974755995228654,0.0013305321010760663,0.28670560722432575,0.0015273378581483592,0.17676864365089334,0.004382339317570332,0.7561621649526196,0.007165520570998537,0.2865332748024885,0.0060274878765489365,0.23198821320470647,0.0055585105297292605,0.8747,0.006559725604017302,0.3347,0.014718525741391354,0.33172,0.014532102394354372,0.42944000000000004,0.007966994414457706,0.16224,0.027424952142164255,0.39002,0.011070546508641782,0.47817999999999994,0.014511616036816865,0.3322,0.01875659883880871,0.3966,0.01564400843773745,0.033699999999999994,0.005922415047934415,0.21192000000000003,0.010236796373866191,0.27346,0.0065209661860801005,0.044879999999999996,0.000895544527089524,0.8177999999999999,0.003393375900191457,0.62854,0.007068451032581339,0.5851,0.008005935298264695,0.6162,0.005761944116355153,0.5656800000000001,0.00743417782945764,0.72208,0.006362939572241716,0.10096000000000001,0.0054692778316702785,0.59012,0.023913322646591805,0.8540599999999999,0.01391808176438116,0.16224,0.027424952142164255,0.0408,0.006650187967268292,0.41874,0.0074423114688918985,0.44530000000000003,0.00600000000000002,0.20162,0.006206206570845032,1.04298,0.008110918566968838
