label,Bal.Acc_mean,Bal.Acc_std,MCC_mean,MCC_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,Precision_mean,Precision_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std
alcoholic,0.7905519293399645,0.052101778839466414,0.5788329193819044,0.020709183303292696,0.5773327347101374,0.013848133913077198,0.9465892263176153,0.04157273803204508,0.5934915745211247,0.10738581732256526,0.6054423076923077,0.14676029782635433,0.5909090909090909,0.11024096604542723,0.9901947677708381,0.006127764626781924
aldehydic,0.7319343174629458,0.05461296524640966,0.3881027382499407,0.06267423165353939,0.4009748730801362,0.056277710967976645,0.922129966665614,0.018451198664901504,0.3746443838728547,0.08620160610267609,0.3414685650295952,0.031567669572324354,0.49224958949096875,0.11513177301772252,0.971619045434923,0.0071018123710366605
alliaceous,0.738819540089176,0.08283930765144476,0.42224858824618605,0.06427471658599626,0.4263305870516899,0.059064493088090086,0.9652397924160117,0.00744158730968167,0.4957644005544557,0.09329686894257534,0.4014392748969506,0.04963214279142228,0.4976321839080461,0.17421283336565047,0.9800068962703061,0.00881008443750091
almond,0.6692383554982971,0.07794505441593332,0.33385133884844687,0.11764391599576357,0.3409428833819078,0.11475315019611194,0.9126143676815189,0.04800130028319745,0.32524879682745045,0.12038270705688388,0.3495238095238095,0.10747538052970569,0.3503267973856209,0.1562105176738909,0.9881499136109733,0.004038398065263813
amber,0.7132152718784142,0.04435989196194148,0.3647084203348051,0.057659653674676445,0.3672280096420737,0.058587263003321725,0.9268870533226812,0.04074068478167157,0.3593784539391568,0.06671120354998913,0.338815734989648,0.12176667129777215,0.44792663476873995,0.09676874589666838,0.9785039089880883,0.012405296399870747
animal,0.6613797986829282,0.04911897991562798,0.3351668035792429,0.04529450216449218,0.34381130444586416,0.056092891611608846,0.8039614939847676,0.016036901466398825,0.2670598627393101,0.022112117333636726,0.3773809523809524,0.03890508247230523,0.33738130934532734,0.10414451365473212,0.9853782880205288,0.006399958060451991
anisic,0.6693844590053815,0.036936991930337774,0.3699085245386106,0.1521624381593624,0.36562933921424484,0.1348266060429842,0.8280584500008782,0.09208511521604544,0.33333829954476685,0.15055561112252172,0.4433650793650793,0.2862310670314074,0.3515092879256966,0.0733151820522276,0.9872596300850663,0.012049584591662119
apple,0.7510768046992595,0.037166894919814696,0.4839831423246322,0.061486453460697574,0.5136212325824341,0.05789201533852489,0.9315109494788647,0.020159565291049262,0.5275503077942464,0.07575787309624121,0.5020177557523776,0.08964992291594166,0.5393413978494623,0.07890849051830308,0.9628122115490566,0.014047559731147567
apricot,0.6638518480832498,0.031205988063513105,0.23441048710786455,0.07795895974445878,0.2351929430421567,0.08286131695042993,0.8748112245877792,0.03051422857192401,0.17109050189152433,0.05442664154773157,0.18270010037675655,0.09294328224239969,0.35563909774436087,0.06054486346467973,0.9720645984221388,0.00863923577672418
aromatic,0.6006408404377801,0.07270740460329314,0.15329500880195795,0.08613323028928029,0.1546224059915743,0.07326073493623458,0.7396184379375443,0.068247140122406,0.11865827798135853,0.05348852000952338,0.14743065535518365,0.11209311431253709,0.22767507002801118,0.15510095059312545,0.9736066108475491,0.01632763674126465
balsamic,0.7215916091523885,0.053032762167657954,0.4157597751070067,0.0787924051600769,0.4461729694563318,0.07326229009622875,0.887496179838586,0.014744098148015597,0.45446042130464914,0.0658364110417745,0.4318892742621556,0.10939055965732161,0.4883542919628212,0.12103831964815483,0.9548289263419558,0.024619827667802165
banana,0.6982857165487134,0.0842497254037583,0.35673007562959025,0.06077327616855666,0.35280529547971407,0.06663583888517843,0.9321414777553994,0.009405850552463934,0.4008852284986807,0.06307306489468816,0.374802222948676,0.14172789424970547,0.41788744588744586,0.17963673419274298,0.9786839872099812,0.012243104440477931
beefy,0.6424685691378189,0.08012711077041827,0.19959114557774962,0.027154684668267978,0.16502009894867034,0.025520795996413468,0.9161040677228671,0.024144186962305234,0.17404662397260096,0.06238011467652755,0.22536054421768706,0.18512739240423196,0.3067821067821067,0.1789368337149981,0.9781550314935311,0.02021369864822859
bergamot,0.7123422987620585,0.02858108689338853,0.30781981784213874,0.0772578359605485,0.2907117057349255,0.08596365900994682,0.9498967247763683,0.034677056095617796,0.4122730708503157,0.1539433394069193,0.2437229437229437,0.14653695639654427,0.43499999999999994,0.06020797289396146,0.9896845975241169,0.005136617828898356
berry,0.6307013674329741,0.05071493902869538,0.19273443143328617,0.034629552660307615,0.21050298344222113,0.023010642337751287,0.8071577088386327,0.030904312181051732,0.22721844289826673,0.0755067781181788,0.17431857594453712,0.052098085749660676,0.31720449935460077,0.13284979709167333,0.9441982355113474,0.034622384095991554
bitter,0.5824525500873208,0.027969353296249076,0.24180565679453747,0.05951972493092072,0.22353238866396757,0.06232087626509866,0.7531171839714257,0.04348714003304097,0.2073836343106874,0.04058175720194359,0.3898809523809524,0.13219781139590958,0.16978438228438225,0.057518360769634354,0.9951207178902592,0.004865254836525521
black currant,0.718712266869813,0.12160003365374798,0.29691351863232207,0.13970196586375913,0.2788356227812934,0.13003420086801587,0.9121804684218171,0.03979420665894772,0.29491837939378795,0.19599684482980234,0.21969528056484577,0.10094963966640262,0.45095238095238094,0.2466533366502988,0.9864721527872449,0.006911672167969455
brandy,0.713494748314847,0.07284728413002656,0.2723836498538354,0.0524793481474983,0.24924585218702866,0.05172651415919692,0.92134849948235,0.025301816761255334,0.2685614928214043,0.0588676110327295,0.1941241612924239,0.06642929040459955,0.4453968253968254,0.15270963229744963,0.9815926712328688,0.012372077892431319
burnt,0.6689453770745468,0.07685638727914944,0.2732193409207811,0.09969573346944989,0.29440917091828134,0.09221678184136198,0.8732473759637877,0.031591096172847284,0.25201795496762436,0.05729401472753165,0.25125485403231396,0.0755981563417247,0.38285316743089076,0.16775487938348363,0.9550375867182026,0.020786822487624767
buttery,0.6810917160042994,0.07291419686723673,0.35883432198754084,0.08284221062009887,0.35964640478769355,0.0886982485791233,0.8902065122804238,0.02141344155267104,0.3177269267475277,0.07545604692558563,0.4083333333333333,0.16396621796858227,0.3813746438746438,0.1537847470635364,0.9808087881339549,0.011295643240218523
cabbage,0.8224208397948596,0.14076816361356434,0.3492769718517216,0.12350876508106803,0.298957389246014,0.08988108508490474,0.9570548175281799,0.045779959594778964,0.2991755623586925,0.217479434266955,0.19607553366174052,0.0512250269549074,0.6695454545454546,0.28220098634521973,0.9752962250442646,0.008458784597541572
