Feature_Name,Assigned_Type
MACCS_137,Categorical
MACCS_137,Categorical
MACCS_138,Categorical
MACCS_138,Categorical
MACCS_139,Categorical
MACCS_139,Categorical
MACCS_140,Categorical
MACCS_140,Categorical
MACCS_141,Categorical
MACCS_141,Categorical
MACCS_142,Categorical
MACCS_142,Categorical
MACCS_143,Categorical
MACCS_143,Categorical
MACCS_144,Categorical
MACCS_144,Categorical
MACCS_145,Categorical
MACCS_145,Categorical
MACCS_146,Categorical
MACCS_146,Categorical
MACCS_147,Categorical
MACCS_147,Categorical
MACCS_148,Categorical
MACCS_148,Categorical
MACCS_149,Categorical
MACCS_149,Categorical
MACCS_150,Categorical
MACCS_150,Categorical
MACCS_151,Categorical
MACCS_151,Categorical
MACCS_152,Categorical
MACCS_152,Categorical
MACCS_153,Categorical
MACCS_153,Categorical
MACCS_154,Categorical
MACCS_154,Categorical
MACCS_155,Categorical
MACCS_155,Categorical
MACCS_156,Categorical
MACCS_156,Categorical
MACCS_157,Categorical
MACCS_157,Categorical
MACCS_158,Categorical
MACCS_158,Categorical
MACCS_159,Categorical
MACCS_159,Categorical
MACCS_160,Categorical
MACCS_160,Categorical
MACCS_161,Categorical
MACCS_161,Categorical
MACCS_162,Categorical
MACCS_162,Categorical
MACCS_163,Categorical
MACCS_163,Categorical
MACCS_164,Categorical
MACCS_164,Categorical
MACCS_165,Categorical
MACCS_165,Categorical
MACCS_166,Categorical
MACCS_166,Categorical
morgan_0,Numerical
morgan_1,Numerical
morgan_2,Numerical
morgan_3,Numerical
morgan_4,Numerical
morgan_5,Numerical
morgan_6,Numerical
morgan_7,Numerical
morgan_8,Numerical
morgan_9,Numerical
morgan_10,Numerical
morgan_11,Numerical
morgan_12,Numerical
morgan_13,Numerical
morgan_14,Numerical
morgan_15,Categorical
morgan_15,Categorical
morgan_16,Numerical
morgan_17,Categorical
morgan_17,Categorical
morgan_18,Numerical
morgan_19,Categorical
morgan_19,Categorical
morgan_20,Numerical
morgan_21,Numerical
morgan_22,Numerical
morgan_23,Numerical
morgan_24,Categorical
morgan_24,Categorical
morgan_25,Numerical
morgan_26,Numerical
morgan_27,Numerical
morgan_28,Numerical
morgan_29,Numerical
morgan_30,Numerical
morgan_31,Numerical
morgan_32,Numerical
morgan_33,Numerical
morgan_34,Categorical
morgan_34,Categorical
morgan_35,Numerical
morgan_36,Numerical
morgan_37,Numerical
morgan_38,Numerical
morgan_39,Numerical
morgan_40,Numerical
morgan_41,Numerical
morgan_42,Numerical
morgan_43,Categorical
morgan_43,Categorical
morgan_44,Numerical
morgan_45,Numerical
morgan_46,Numerical
morgan_47,Numerical
morgan_48,Numerical
morgan_49,Numerical
morgan_50,Numerical
morgan_51,Numerical
morgan_52,Numerical
morgan_53,Numerical
morgan_54,Categorical
morgan_54,Categorical
morgan_55,Numerical
morgan_56,Numerical
morgan_57,Numerical
morgan_58,Numerical
morgan_59,Numerical
morgan_60,Numerical
morgan_61,Numerical
morgan_62,Numerical
morgan_63,Numerical
morgan_64,Numerical
morgan_65,Numerical
morgan_66,Numerical
morgan_67,Numerical
morgan_68,Numerical
morgan_69,Numerical
morgan_70,Numerical
morgan_71,Numerical
morgan_72,Numerical
morgan_73,Numerical
morgan_74,Numerical
morgan_75,Numerical
morgan_76,Categorical
morgan_76,Categorical
morgan_77,Numerical
morgan_78,Categorical
morgan_78,Categorical
morgan_79,Numerical
morgan_80,Numerical
morgan_81,Numerical
morgan_82,Categorical
morgan_82,Categorical
morgan_83,Numerical
morgan_84,Numerical
morgan_85,Numerical
morgan_86,Numerical
morgan_87,Numerical
morgan_88,Numerical
morgan_89,Numerical
morgan_90,Numerical
morgan_91,Numerical
morgan_92,Numerical
morgan_93,Numerical
morgan_94,Numerical
morgan_95,Numerical
morgan_96,Numerical
morgan_97,Numerical
morgan_98,Numerical
morgan_99,Numerical
morgan_100,Numerical
morgan_101,Numerical
morgan_102,Numerical
morgan_103,Numerical
morgan_104,Numerical
morgan_105,Numerical
morgan_106,Numerical
morgan_107,Numerical
morgan_108,Numerical
morgan_109,Numerical
morgan_110,Numerical
morgan_111,Numerical
morgan_112,Numerical
morgan_113,Numerical
morgan_114,Numerical
morgan_115,Numerical
morgan_116,Numerical
morgan_117,Numerical
morgan_118,Numerical
morgan_119,Numerical
morgan_120,Numerical
morgan_121,Numerical
morgan_122,Numerical
morgan_123,Numerical
morgan_124,Numerical
morgan_125,Numerical
morgan_126,Numerical
morgan_127,Numerical
morgan_128,Numerical
morgan_129,Numerical
morgan_130,Numerical
morgan_131,Numerical
morgan_132,Numerical
morgan_133,Numerical
morgan_134,Numerical
morgan_135,Numerical
morgan_136,Numerical
morgan_137,Numerical
morgan_138,Numerical
morgan_139,Numerical
morgan_140,Numerical
morgan_141,Categorical
morgan_141,Categorical
morgan_142,Numerical
morgan_143,Numerical
morgan_144,Numerical
morgan_145,Numerical
morgan_146,Numerical
morgan_147,Numerical
morgan_148,Numerical
morgan_149,Categorical
morgan_149,Categorical
morgan_150,Numerical
morgan_151,Numerical
morgan_152,Categorical
morgan_152,Categorical
morgan_153,Numerical
morgan_154,Numerical
morgan_155,Numerical
morgan_156,Numerical
morgan_157,Numerical
morgan_158,Numerical
morgan_159,Numerical
morgan_160,Numerical
morgan_161,Numerical
morgan_162,Numerical
morgan_163,Numerical
morgan_164,Numerical
morgan_165,Numerical
morgan_166,Numerical
morgan_167,Numerical
morgan_168,Numerical
morgan_169,Numerical
morgan_170,Numerical
morgan_171,Numerical
morgan_172,Numerical
morgan_173,Numerical
morgan_174,Categorical
morgan_174,Categorical
morgan_175,Numerical
morgan_176,Numerical
morgan_177,Numerical
morgan_178,Numerical
morgan_179,Numerical
morgan_180,Numerical
morgan_181,Numerical
morgan_182,Numerical
morgan_183,Numerical
morgan_184,Numerical
morgan_185,Numerical
morgan_186,Numerical
morgan_187,Numerical
morgan_188,Numerical
morgan_189,Numerical
morgan_190,Numerical
morgan_191,Numerical
morgan_192,Numerical
morgan_193,Numerical
morgan_194,Numerical
morgan_195,Numerical
morgan_196,Numerical
morgan_197,Numerical
morgan_198,Numerical
morgan_199,Numerical
morgan_200,Numerical
morgan_201,Numerical
morgan_202,Numerical
morgan_203,Numerical
morgan_204,Numerical
morgan_205,Numerical
morgan_206,Numerical
morgan_207,Numerical
morgan_208,Numerical
morgan_209,Numerical
morgan_210,Numerical
morgan_211,Numerical
morgan_212,Numerical
morgan_213,Numerical
morgan_214,Numerical
morgan_215,Numerical
morgan_216,Numerical
morgan_217,Numerical
morgan_218,Numerical
morgan_219,Numerical
morgan_220,Numerical
morgan_221,Numerical
morgan_222,Numerical
morgan_223,Numerical
morgan_224,Numerical
morgan_225,Numerical
morgan_226,Numerical
morgan_227,Numerical
morgan_228,Numerical
morgan_229,Numerical
morgan_230,Numerical
morgan_231,Numerical
morgan_232,Numerical
morgan_233,Numerical
morgan_234,Numerical
morgan_235,Numerical
morgan_236,Categorical
morgan_236,Categorical
morgan_237,Numerical
morgan_238,Numerical
morgan_239,Numerical
morgan_240,Numerical
morgan_241,Numerical
morgan_242,Numerical
morgan_243,Numerical
morgan_244,Numerical
morgan_245,Numerical
morgan_246,Numerical
morgan_247,Numerical
morgan_248,Numerical
morgan_249,Numerical
morgan_250,Numerical
morgan_251,Numerical
morgan_252,Numerical
morgan_253,Numerical
morgan_254,Numerical
morgan_255,Numerical
morgan_256,Numerical
morgan_257,Numerical
morgan_258,Numerical
morgan_259,Numerical
morgan_260,Numerical
morgan_261,Numerical
morgan_262,Numerical
morgan_263,Numerical
morgan_264,Numerical
morgan_265,Numerical
