Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 89,BalabanJ,4.161564797063767e-57,3.771810994317614e-58
Feature 90,VSA_EState4,7.3216903029189115e-56,6.709706118485609e-57
Feature 91,nBondsD,7.503221567766218e-56,6.95162521887706e-57
Feature 92,MIC0,1.9714330246284487e-55,1.8463572133982451e-56
Feature 93,morgan_301,2.384483210445303e-55,2.2572147208646375e-56
Feature 94,nFRing,1.7340162917280672e-54,1.65892797295233e-55
Feature 95,ATSC3i,2.0998985373028825e-54,2.03011338953753e-55
Feature 96,MACCS_152,4.508079019380992e-53,4.4036622847931143e-54
Feature 97,nFARing,4.677967637878591e-53,4.6167253626596367e-54
Feature 98,ATSC4d,2.065713584508025e-49,2.059472757968726e-50
Feature 99,MOMI-Z,2.2811652053851755e-49,2.2972459268732885e-50
