Fold,Model,Config,Bal.Acc,MCC,F1,ROC_AUC,PR_AUC,Precision,Sensitivity,Specificity
2,LR,LR_C=0.1,0.698,0.317,0.324,0.867,0.318,0.297,0.442,0.954
2,LR,LR_C=1,0.703,0.315,0.321,0.865,0.317,0.288,0.453,0.954
2,LR,LR_C=10,0.703,0.315,0.321,0.865,0.317,0.288,0.452,0.954
2,LR,LR_C=100,0.703,0.315,0.321,0.865,0.317,0.288,0.452,0.953
2,RF,RF_n_estimators=100_max_features=log2,0.694,0.334,0.341,0.864,0.349,0.338,0.427,0.96
2,RF,RF_n_estimators=100_max_features=sqrt,0.693,0.327,0.335,0.861,0.339,0.325,0.428,0.958
2,RF,RF_n_estimators=300_max_features=log2,0.695,0.344,0.351,0.874,0.356,0.353,0.424,0.966
2,RF,RF_n_estimators=300_max_features=sqrt,0.693,0.331,0.335,0.872,0.346,0.344,0.428,0.958
2,SVM,SVM_C=0.1,0.677,0.287,0.295,0.878,0.307,0.274,0.395,0.959
2,SVM,SVM_C=1,0.688,0.326,0.335,0.874,0.332,0.327,0.412,0.964
2,SVM,SVM_C=10,0.665,0.307,0.315,0.853,0.318,0.335,0.364,0.967
2,XGB,XGB_n_estimators=100_max_depth=3,0.66,0.31,0.321,0.852,0.323,0.347,0.35,0.971
2,XGB,XGB_n_estimators=100_max_depth=6,0.652,0.319,0.329,0.846,0.325,0.385,0.332,0.972
2,XGB,XGB_n_estimators=300_max_depth=3,0.651,0.319,0.327,0.846,0.322,0.389,0.328,0.975
2,XGB,XGB_n_estimators=300_max_depth=6,0.653,0.324,0.333,0.843,0.324,0.396,0.332,0.974
3,KNN,KNN_n_neighbors=11_metric=cosine,0.664,0.29,0.295,0.788,0.247,0.316,0.368,0.961
3,KNN,KNN_n_neighbors=11_metric=euclidean,0.665,0.287,0.295,0.789,0.243,0.302,0.375,0.956
3,KNN,KNN_n_neighbors=21_metric=cosine,0.671,0.289,0.296,0.813,0.254,0.297,0.383,0.959
3,KNN,KNN_n_neighbors=21_metric=euclidean,0.671,0.286,0.292,0.816,0.253,0.294,0.386,0.956
3,KNN,KNN_n_neighbors=5_metric=cosine,0.664,0.28,0.285,0.75,0.227,0.297,0.373,0.955
3,KNN,KNN_n_neighbors=5_metric=euclidean,0.665,0.286,0.292,0.749,0.222,0.304,0.37,0.961
3,LR,LR_C=0.01,0.689,0.296,0.301,0.858,0.273,0.281,0.42,0.957
3,LR,LR_C=0.1,0.681,0.289,0.297,0.852,0.277,0.275,0.404,0.958
3,LR,LR_C=1,0.682,0.29,0.299,0.851,0.276,0.275,0.405,0.958
3,LR,LR_C=10,0.68,0.29,0.299,0.851,0.276,0.277,0.401,0.958
3,LR,LR_C=100,0.679,0.29,0.299,0.851,0.276,0.277,0.399,0.959
3,RF,RF_n_estimators=100_max_features=log2,0.679,0.318,0.324,0.855,0.317,0.333,0.391,0.967
3,RF,RF_n_estimators=100_max_features=sqrt,0.67,0.302,0.305,0.846,0.304,0.326,0.376,0.965
3,RF,RF_n_estimators=300_max_features=log2,0.685,0.319,0.325,0.862,0.321,0.327,0.404,0.965
3,RF,RF_n_estimators=300_max_features=sqrt,0.678,0.307,0.311,0.854,0.307,0.318,0.39,0.966
3,SVM,SVM_C=0.1,0.664,0.275,0.282,0.856,0.27,0.28,0.369,0.96
3,SVM,SVM_C=1,0.674,0.293,0.297,0.855,0.294,0.301,0.384,0.964
3,SVM,SVM_C=10,0.665,0.291,0.299,0.831,0.294,0.309,0.363,0.967
3,XGB,XGB_n_estimators=100_max_depth=3,0.655,0.294,0.303,0.834,0.297,0.329,0.337,0.973
3,XGB,XGB_n_estimators=100_max_depth=6,0.643,0.298,0.307,0.832,0.304,0.354,0.31,0.976
3,XGB,XGB_n_estimators=300_max_depth=3,0.644,0.297,0.305,0.83,0.295,0.358,0.312,0.975
3,XGB,XGB_n_estimators=300_max_depth=6,0.642,0.296,0.306,0.83,0.302,0.353,0.306,0.977
4,KNN,KNN_n_neighbors=11_metric=cosine,0.672,0.285,0.293,0.786,0.252,0.286,0.386,0.957
4,KNN,KNN_n_neighbors=11_metric=euclidean,0.668,0.29,0.298,0.785,0.254,0.299,0.378,0.959
4,KNN,KNN_n_neighbors=21_metric=cosine,0.661,0.278,0.288,0.804,0.255,0.281,0.359,0.963
4,KNN,KNN_n_neighbors=21_metric=euclidean,0.665,0.288,0.297,0.803,0.258,0.299,0.364,0.965
4,KNN,KNN_n_neighbors=5_metric=cosine,0.662,0.285,0.291,0.744,0.232,0.309,0.369,0.955
4,KNN,KNN_n_neighbors=5_metric=euclidean,0.669,0.29,0.296,0.746,0.231,0.302,0.383,0.955
4,LR,LR_C=0.01,0.684,0.301,0.311,0.861,0.276,0.283,0.412,0.956
4,LR,LR_C=0.1,0.682,0.302,0.312,0.855,0.279,0.291,0.403,0.961
4,LR,LR_C=1,0.684,0.303,0.313,0.854,0.278,0.29,0.407,0.96
4,LR,LR_C=10,0.683,0.302,0.312,0.854,0.278,0.289,0.407,0.959
4,LR,LR_C=100,0.683,0.303,0.313,0.854,0.278,0.29,0.407,0.959
4,RF,RF_n_estimators=100_max_features=log2,0.674,0.315,0.321,0.856,0.329,0.341,0.384,0.965
4,RF,RF_n_estimators=100_max_features=sqrt,0.677,0.31,0.318,0.851,0.319,0.32,0.389,0.966
4,RF,RF_n_estimators=300_max_features=log2,0.68,0.324,0.329,0.865,0.339,0.347,0.394,0.965
4,RF,RF_n_estimators=300_max_features=sqrt,0.673,0.31,0.32,0.859,0.327,0.321,0.382,0.965
4,SVM,SVM_C=0.1,0.67,0.275,0.285,0.862,0.278,0.264,0.386,0.955
4,SVM,SVM_C=1,0.671,0.304,0.313,0.856,0.303,0.314,0.377,0.965
4,SVM,SVM_C=10,0.66,0.299,0.31,0.836,0.301,0.321,0.353,0.967
4,XGB,XGB_n_estimators=100_max_depth=3,0.657,0.292,0.303,0.834,0.314,0.317,0.347,0.967
4,XGB,XGB_n_estimators=100_max_depth=6,0.656,0.308,0.32,0.838,0.318,0.342,0.339,0.973
4,XGB,XGB_n_estimators=300_max_depth=3,0.651,0.295,0.306,0.829,0.312,0.333,0.331,0.972
4,XGB,XGB_n_estimators=300_max_depth=6,0.654,0.306,0.319,0.834,0.317,0.344,0.334,0.973
