record_seq_num;relative_time_sec;unix_timestamp_sec;run_id;run_name;device_id;item;cycle;section;humidity;temperature;1;105;106;24;25;34;36;55
10;130.536000;1775642486.094000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.780500;0.981000;1.195500;2.749500;2.351500;2.606000;1.349000;1.599500
10;130.869000;1775642486.427000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.789000;0.985500;1.188000;2.748500;2.354500;2.620500;1.366000;1.636000
10;131.202000;1775642486.760000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.786500;0.995500;1.187000;2.750000;2.355500;2.615500;1.333000;1.615000
10;131.535000;1775642487.093000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.784500;0.989000;1.199000;2.762000;2.361500;2.621000;1.367000;1.605000
10;131.868000;1775642487.426000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.777500;0.992500;1.199500;2.758000;2.359500;2.620000;1.365000;1.640500
10;132.201000;1775642487.759000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.781500;0.987000;1.196500;2.760500;2.361000;2.625500;1.348000;1.620000
10;132.534000;1775642488.092000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.782500;0.993500;1.207000;2.768000;2.368000;2.635500;1.358000;1.598000
10;132.867000;1775642488.425000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.786000;0.989500;1.210500;2.768500;2.377000;2.642000;1.371000;1.624500
10;133.200000;1775642488.758000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.785500;1.000000;1.203000;2.768000;2.382000;2.636000;1.359000;1.630000
10;133.533000;1775642489.091000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.792500;0.999000;1.211500;2.783500;2.387500;2.638500;1.372000;1.643000
10;133.866000;1775642489.424000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.793000;0.999500;1.213000;2.791500;2.383500;2.648500;1.367000;1.637500
10;134.199000;1775642489.757000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.794500;0.997000;1.204000;2.782500;2.391500;2.647500;1.369000;1.668000
10;134.532000;1775642490.090000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.790000;1.003000;1.207500;2.788500;2.398000;2.662000;1.371000;1.646500
10;134.865000;1775642490.423000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.788000;1.001500;1.210500;2.800000;2.400500;2.666500;1.364000;1.637500
10;135.198000;1775642490.756000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.791500;1.002000;1.217500;2.800000;2.402000;2.663500;1.368000;1.671500
10;135.531000;1775642491.089000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.270000;0.793500;1.009500;1.212500;2.809000;2.420000;2.662000;1.378000;1.634500
10;135.864000;1775642491.422000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.793000;1.004000;1.215000;2.801500;2.412500;2.673000;1.392000;1.644500
