Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 89,MACCS_105,1.977912817965563e-86,1.7819034396086155e-87
Feature 90,GhoseFilter,2.4141945026738457e-86,2.1991161135467463e-87
Feature 91,JGI2,2.7690823331517834e-84,2.550105852351993e-85
Feature 92,ATSC4d,2.863606130378804e-82,2.665819520773061e-83
Feature 93,ATSC1dv,3.3159668701264724e-82,3.12012898690579e-83
Feature 94,morgan_80,2.9752246646115484e-81,2.829292724105076e-82
Feature 95,VSA_EState4,2.845956196969017e-78,2.7348528018921486e-79
Feature 96,ATSC3dv,1.84855332228916e-77,1.7948916142347197e-78
Feature 97,MACCS_141,4.0743646867339735e-77,3.9968742672665604e-78
Feature 98,VSA_EState5,1.3337407867175773e-76,1.3217251039543558e-77
Feature 99,SMR_VSA7,7.273415626486978e-76,7.280696322809789e-77
