Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 89,morgan_42,4.2592095113019244e-10,3.83712568585759e-11
Feature 90,MACCS_109,4.5679292694953534e-10,4.1609766118526244e-11
Feature 91,MACCS_014,6.625138277047989e-10,6.101228443327477e-11
Feature 92,morgan_434,8.019707990215864e-10,7.465794225125879e-11
Feature 93,morgan_325,8.175082286173264e-10,7.69226961862149e-11
Feature 94,piPC3,8.251292521453537e-10,7.846574469850711e-11
Feature 95,morgan_381,1.2150147391242934e-9,1.1675817312906123e-10
Feature 96,morgan_329,1.5725438117641914e-9,1.5268943918030688e-10
Feature 97,MACCS_100,1.6307510533494037e-9,1.5997357680504662e-10
Feature 98,morgan_116,1.7384130740938455e-9,1.7227516950479552e-10
Feature 99,MACCS_036,1.9274239200828136e-9,1.9293532733561696e-10
