Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 89,morgan_435,1.2152605881427068e-33,1.0959263820926213e-34
Feature 90,MACCS_082,2.242976341850706e-33,2.0451988688217863e-34
Feature 91,nHRing,4.0410690143140794e-33,3.7252339610911353e-34
Feature 92,MACCS_072,5.184713857968728e-33,4.831446781473864e-34
Feature 93,nHBAcc,7.576599537427217e-33,7.136276117416418e-34
Feature 94,MACCS_155,7.68846738689835e-33,7.318681380314061e-34
Feature 95,morgan_375,8.534073263828086e-33,8.209128590455874e-34
Feature 96,MACCS_140,1.7867635686581608e-32,1.7366339294573306e-33
Feature 97,morgan_243,2.2744481820888993e-32,2.2334260705882978e-33
Feature 98,morgan_282,8.090707159132188e-32,8.025851791123112e-33
Feature 99,NdsCH,1.2018436959349097e-31,1.2042522003355809e-32
