model,param_value,roc_auc_138,pr_auc_138,f1_macro_138,f1_micro_138,precision_macro_138,recall_macro_138,precision_micro_138,recall_micro_138,matched_accuracy_138,hamming_loss_138,jaccard_138,hier_violation_rate_138,roc_auc_12,pr_auc_12,f1_macro_12,instance_f1_12,balanced_accuracy_12,matched_accuracy_12,sensitivity_macro_12,specificity_macro_12,precision_macro_12,recall_macro_12,hamming_loss_12,jaccard_12,hier_violation_rate_12,label_cooc_consistency_12,test_loss
KNN,KNN_n_neighbors=21_metric=cosine,,,,,,,,,,,,,0.79936,0.59532,0.58336,0.601,0.71102,0.05432,0.68546,0.73654,0.5151,0.68546,0.24984,0.41762,0.0,0.11322000000000002,
LR,LR_C=0.1,,,,,,,,,,,,,0.8061,0.6113000000000001,0.5950200000000001,0.60414,0.72664,0.06048,0.7013,0.752,0.5241800000000001,0.7013,0.2435,0.4293,0.0,0.10070000000000001,
RF,RF_n_estimators=300_max_features=log2,,,,,,,,,,,,,0.8224,0.65278,0.611,0.6255200000000001,0.73312,0.0792,0.6875199999999999,0.77878,0.55996,0.6875199999999999,0.22412,0.44554,0.0,0.09906000000000001,
SVM,SVM_C=1,,,,,,,,,,,,,0.81304,0.62094,0.60476,0.6144999999999999,0.7277199999999999,0.0726,0.68548,0.76998,0.5477000000000001,0.68548,0.22960000000000003,0.43904,0.0,0.1021,
XGB,XGB_n_estimators=300_max_depth=6,,,,,,,,,,,,,0.80556,0.6338,0.5917199999999999,0.6096,0.7177,0.07276,0.66002,0.77542,0.5464,0.66002,0.23208,0.42618,0.0,0.08202000000000001,
