config,mean_val_PR_AUC,std_val_PR_AUC,mean_test_PR_AUC,std_test_PR_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,mean_test_F1,std_test_F1
n300_log2,0.05530952938725995,0.022726844902757354,0.05259420845243773,0.024299318952203004,0.5428413941435497,0.05998419362845117,0.04559782470697881,0.03460032300528147
n300_sqrt,0.05384141723648508,0.021112968464449253,0.05201901605611742,0.023530660677105505,0.541078583040154,0.05544473597460139,0.04447676811850436,0.03276201074273786
n100_log2,0.0519272490752553,0.019768198430386137,0.048954018636868366,0.020363254544300304,0.536339988469336,0.05293726708638778,0.04352078069953267,0.032128585438145965
n100_sqrt,0.050548002884651125,0.01805131065171473,0.04903205711027278,0.021227058078486044,0.5329500208902983,0.048546669006129896,0.04351127831997825,0.032302929477106494
