val_PR_AUC,test_PR_AUC,test_ROC_AUC,test_F1,n_valid_labels_PR,n_valid_labels_ROC,config,n_estimators,max_features,fold
0.04476947450612957,0.04043810384289924,0.5074517302000037,0.0315745026076265,138,138,n100_sqrt,100,sqrt,0
0.08049653122237566,0.08576930536525869,0.6134968421090006,0.09576610758318953,138,138,n100_sqrt,100,sqrt,1
0.03807106598984772,0.03559228409867283,0.5,0.018988116706625414,138,138,n100_sqrt,100,sqrt,2
0.03606851968540689,0.034966643662295835,0.5,0.018661864112935727,138,138,n100_sqrt,100,sqrt,3
0.05333442301949578,0.04839394858223731,0.5438015321424876,0.0525658005895141,138,138,n100_sqrt,100,sqrt,4
0.04476947450612957,0.04043810384289924,0.5074517302000037,0.0315745026076265,138,138,n100_log2,100,log2,0
0.0843027874711974,0.0837506220043492,0.6230103345943836,0.0952288005470755,138,138,n100_log2,100,log2,1
0.03807106598984772,0.03559228409867283,0.5,0.018988116706625414,138,138,n100_log2,100,log2,2
0.03606851968540689,0.034966643662295835,0.5,0.018661864112935727,138,138,n100_log2,100,log2,3
0.05642439772369493,0.050022439576124754,0.5512378775522926,0.05315061952340021,138,138,n100_log2,100,log2,4
0.0454767791089005,0.04062555299439438,0.5075421214957903,0.032213579784479765,138,138,n300_sqrt,300,sqrt,0
0.08819503532622326,0.09171355458109387,0.6269232086504184,0.09634204140219559,138,138,n300_sqrt,300,sqrt,1
0.040160925712236555,0.03758414485100352,0.5034327196409705,0.018988116706625414,138,138,n300_sqrt,300,sqrt,2
0.03606851968540689,0.034966643662295835,0.5,0.018661864112935727,138,138,n300_sqrt,300,sqrt,3
0.05930582634965821,0.05520518419179946,0.5674948654135911,0.05617823858628531,138,138,n300_sqrt,300,sqrt,4
0.0454767791089005,0.04062555299439438,0.5075421214957903,0.032213579784479765,138,138,n300_log2,300,log2,0
0.09141802466463807,0.09344034856394931,0.6393587647073949,0.10069796347825385,138,138,n300_log2,300,log2,1
0.040160925712236555,0.03758414485100352,0.5034327196409705,0.018988116706625414,138,138,n300_log2,300,log2,2
0.03606851968540689,0.034966643662295835,0.5,0.018661864112935727,138,138,n300_log2,300,log2,3
0.06342339776511773,0.0563543521905456,0.563873364873593,0.05742759945259931,138,138,n300_log2,300,log2,4
