Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 90,nS,7.280646805905927e-56,6.645324567075621e-57
Feature 91,MACCS_129,1.4792059823660252e-55,1.364964396967646e-56
Feature 92,GhoseFilter,6.64297985129564e-55,6.196560944538562e-56
Feature 93,nAromAtom,1.0384468356709582e-54,9.790772573026086e-56
Feature 94,NaasC,6.615817281754508e-54,6.303938232363875e-55
Feature 95,MACCS_128,6.593259406666648e-54,6.3485747546639744e-55
Feature 96,morgan_511,9.076466695095577e-54,8.830664688307632e-55
Feature 97,TopoPSA(NO),6.00039118283516e-52,5.898077591954319e-53
Feature 98,MACCS_142,1.434946115194982e-51,1.4248712678465718e-52
Feature 99,SlogP_VSA2,3.4012771259241803e-51,3.411511660906901e-52
